id,title,description,link,image_link,price,availability,condition
"ft-bouquet-di-rose","Bouquet di Rose","Pregiato bouquet di rose fresche selezionate con cura, confezionato a mano dai nostri fioristi partner e posato con rispetto sulla tomba del tuo caro. Foto prova inclusa.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-di-rose","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Rose/bouquet-rose-giallo-classico-cimitero-consegna-ferrara.webp","34.99 EUR","in_stock","new"
"ft-bouquet-omaggio-speciale","Omaggio Speciale","Omaggio Speciale - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-omaggio-speciale","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Omaggio Speciale/bouquet-fiori-misti-commemorativo-consegna-veloce-verona.webp","39.99 EUR","in_stock","new"
"ft-foto-stato-prima-consegna","Foto stato di fatto prima della consegna","Foto stato di fatto prima della consegna - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/foto-stato-prima-consegna","https://www.floremoria.com/Watermark.webp","1.49 EUR","in_stock","new"
"ft-lumino","Lumino","Tradizionale lumino votivo per tomba o loculo, simbolo di memoria costante. Servizio professionale di posa, accensione al cimitero e invio foto dello stato di fatto.","https://www.floremoria.com/fiori-sulle-tombe/lumino","https://www.floremoria.com/images/products/fiori-sulle-tombe/lumino/accensione-lumino-voto-cimitero-italia-servizio-udine.webp","3.49 EUR","in_stock","new"
"ft-bouquet-tributo-eterno","Tributo Eterno","Tributo Eterno - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-tributo-eterno","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Tributo Eterno/bouquet-fiori-pregiati-defunti-alta-gamma-bologna.webp","49.99 EUR","in_stock","new"
"ft-bouquet-ricordo-affettuoso","Ricordo Affettuoso","Ricordo Affettuoso - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-ricordo-affettuoso","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Ricordo Affettuoso/consegna-fiori-cimitero-italia-bouquet-economico-bari.webp","29.99 EUR","in_stock","new"
"ft-messaggio","Messaggio","Dedica commemorativa personalizzata trascritta a mano su cartoncino pregiato abbinato all'omaggio floreale, posata con cura per esprimere i tuoi sentimenti più profondi.","https://www.floremoria.com/fiori-sulle-tombe/messaggio","https://www.floremoria.com/images/products/fiori-sulle-tombe/messaggio/biglietto-commemorativo-messaggio-caro-estinto-floremoria-parma.webp","2.49 EUR","in_stock","new"
"ff-bouquet-cordoglio-sincero","Bouquet Cordoglio Sincero","Elegante mazzo di fiori freschi nei toni candidi del lutto, ideale per esprimere sincere condoglianze alla famiglia durante il rito delle esequie in chiesa o cappella.","https://www.floremoria.com/per-il-funerale/bouquet-cordoglio-sincero","https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-cordoglio-sincero/bouquet-cordoglio-sincero-consegna-funerale-cimitero-latina.webp","49.99 EUR","in_stock","new"
"ff-bouquet-rispetto-vicinanza","Bouquet Rispetto e Vicinanza","Composizione floreale composta ed espressiva progettata per porgere le condoglianze ed esprimere vicinanza. Realizzata a mano con fiori freschi di prima scelta.","https://www.floremoria.com/per-il-funerale/bouquet-rispetto-vicinanza","https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-rispetto-vicinanza/bouquet-rispetto-vicinanza-funerale-lutto-cimitero-roma.webp","39.99 EUR","in_stock","new"
"ff-kalonche","Kalonche (pianta in vaso)","Resistente pianta fiorita di Kalanchoe confezionata con cura, ideale per una presenza duratura sul loculo o in cappella per onorare il ricordo del caro defunto.","https://www.floremoria.com/per-il-funerale/kalonche","https://www.floremoria.com/images/products/Fiori-per-Funerale/kalonche/composizione-pianta-kalanchoe-lutto-tomba-chiesa-napoli.webp","37.99 EUR","in_stock","new"
"ff-set-ceri","Set Ceri/Candele","Set Ceri/Candele - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/per-il-funerale/set-ceri","https://www.floremoria.com/images/products/Fiori-per-Funerale/set-ceri-candele/candele-ricordo-defunti-tomba-floremoria-cimitero-bolzano.webp","24.99 EUR","in_stock","new"
"ff-nastro-commemorativo","Nastro commemorativo","Accessorio commemorativo in nastro di raso con dedica personalizzata in lettere oro, perfetto per decorare corone, cuscini o bouquet funebri con parole di affetto.","https://www.floremoria.com/per-il-funerale/nastro-commemorativo","https://www.floremoria.com/images/products/Fiori-per-Funerale/Nastro commemorativo/accessorio-nastro-dedica-commemorativa-omaggio-floreale-palermo.webp","14.99 EUR","in_stock","new"
"ff-margherite-gerbere","Margherite/Gerbere (pianta in vaso)","Margherite/Gerbere (pianta in vaso) - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/per-il-funerale/margherite-gerbere","https://www.floremoria.com/images/products/Fiori-per-Funerale/margherite-gerbere FF/bouquet-margherite-condoglianze-lutto-defunti-freschi-salerno.webp","39.99 EUR","in_stock","new"
"ff-cuore-corona","Cuore / Corona","Imponente corona o composizione a forma di cuore realizzata con fiori freschi pregiati, massima espressione di amore, dolore e memoria eterna per la cerimonia funebre.","https://www.floremoria.com/per-il-funerale/cuore-corona","https://www.floremoria.com/images/products/Fiori-per-Funerale/cuore-corona/composizione-cuore-funerale-fiori-cimitero-loculo-piacenza.webp","199.99 EUR","in_stock","new"
"ff-copribara","Copribara","Solenne composizione floreale copribara progettata su misura con fiori freschi di qualità superiore, per decorare con dignità e grazia il feretro del caro estinto.","https://www.floremoria.com/per-il-funerale/copribara","https://www.floremoria.com/images/products/Fiori-per-Funerale/copribara/composizione-copribara-elegante-funerale-fiori-defunti-pescara.webp","189.99 EUR","in_stock","new"
"ff-piramide","Piramide","Composizione floreale a sviluppo piramidale di grande impatto visivo, adatta all'altare in chiesa, alla camera ardente o alla posa monumentale in cappella.","https://www.floremoria.com/per-il-funerale/piramide","https://www.floremoria.com/images/products/Fiori-per-Funerale/piramide/composizione-floreale-piramide-funerale-loculo-defunti-vicenza.webp","139.99 EUR","in_stock","new"
"ff-cuscino","Cuscino","Classico cuscino funebre realizzato con una fitta trama di fiori freschi scelti, simbolo di riposo sereno ed eterno, ideale per la cerimonia di commiato.","https://www.floremoria.com/per-il-funerale/cuscino","https://www.floremoria.com/images/products/Fiori-per-Funerale/cuscino/composizione-cuscino-funebre-fiori-floremoria-chiesa-taranto.webp","129.99 EUR","in_stock","new"
"ff-bouquet-memoria-imperituri","Bouquet Memoria Eterna","Bouquet Memoria Eterna - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/per-il-funerale/bouquet-memoria-imperituri","https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-memoria-eterna/bouquet-memoria-eterna-fiori-funerale-tomba-catania.webp","89.99 EUR","in_stock","new"
"ff-bouquet-omaggio-solenne","Bouquet Omaggio Solenne","Mazzo di fiori freschi funebri dai colori eleganti ed equilibrati, per testimoniare solennemente la propria partecipazione al cordoglio della famiglia.","https://www.floremoria.com/per-il-funerale/bouquet-omaggio-solenne","https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-omaggio-solenne/bouquet-omaggio-solenne-funerale-defunti-lutto-ancona.webp","69.99 EUR","in_stock","new"
"pa-biglietto-piccoli-amici","Messaggio Piccoli Amici","Messaggio Piccoli Amici - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/per-animali-domestici/biglietto-piccoli-amici","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Biglietto Piccoli Amici/biglietto-condoglianze-animali-cuore.webp","2.99 EUR","in_stock","new"
"pa-lumino-piccoli-amici","Lumino Piccoli Amici","Lumino rosso o bianco con grafiche dedicate agli animali domestici, posato e acceso sulla tomba o nel giardino del ponte per tenere sempre accesa la sua luce.","https://www.floremoria.com/per-animali-domestici/lumino-piccoli-amici","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Lumino Piccoli Amici/candela-ricordo-animali-domestici-rosso.webp","4.99 EUR","in_stock","new"
"pa-nastro-commemorativo-piccoli-amici","Nastro Piccoli Amici","Nastro Piccoli Amici - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/per-animali-domestici/nastro-commemorativo-piccoli-amici","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Nastro Commemorativo Piccoli Amici/nastro-commemorativo-seta-viola-animali.webp","14.99 EUR","in_stock","new"
"pa-ceri-piccoli-amici","Set Ceri Piccoli Amici","Set Ceri Piccoli Amici - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/per-animali-domestici/ceri-piccoli-amici","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Ceri Piccoli Amici/candele-commemorative-lutto-animali-cani.webp","19.99 EUR","in_stock","new"
"pa-un-raggio-di-sole","Un Raggio di Sole","Mazzo fiorito luminoso a base di girasoli e fiori freschi dai toni caldi, simbolo di gioia e calore rimasti nel cuore dopo la scomparsa del fedele animale domestico.","https://www.floremoria.com/per-animali-domestici/un-raggio-di-sole","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Un raggio di sole/composizione-luminosa-tomba-cani-gatti.webp","29.99 EUR","in_stock","new"
"pa-abbraccio-verde","Abbraccio Verde","Vaso di piante verdi resistenti e selezionate per esterno, simbolo di vita continua, pensato per adornare con grazia e naturalezza la tomba del tuo piccolo compagno.","https://www.floremoria.com/per-animali-domestici/abbraccio-verde","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Abbraccio Verde/composizione-piante-cimitero-animali.webp","39.99 EUR","in_stock","new"
"pa-legame-eterno","Legame Eterno","Elegante bouquet di rose fresche e fiori primaverili confezionato a mano, per testimoniare il legame indissolubile d'amore che ti unirà per sempre al tuo fedele amico.","https://www.floremoria.com/per-animali-domestici/legame-eterno","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Legame eterno/bouquet-rose-ricordo-gatto-consegna.webp","49.99 EUR","in_stock","new"
"pa-battito-di-foglia","Battito di Foglia","Composizione naturale e fiorita con piante perenni adatta a tutte le stagioni, pensata per portare un tocco di natura spontanea sulla lapide del tuo piccolo compagno.","https://www.floremoria.com/per-animali-domestici/battito-di-foglia","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Battito di Foglia/composizione-fiorita-naturale-animali.webp","69.99 EUR","in_stock","new"
"pa-il-giardino-del-ponte","Il Giardino del Ponte","Meravigliosa e imponente composizione fiorita nei toni dell'arcobaleno, simbolo del passaggio sereno del tuo animale verso il giardino del ponte.","https://www.floremoria.com/per-animali-domestici/il-giardino-del-ponte","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Il Giardino del Ponte/composizione-fiori-freschi-rosso-bianco-animali.webp","99.99 EUR","in_stock","new"
"pa-anima-pura","Anima Pura","Composizione floreale candida e pura realizzata interamente con fiori bianchi freschi, per ricordare con infinita dolcezza la purezza d'animo del tuo cane o gatto.","https://www.floremoria.com/per-animali-domestici/anima-pura","https://www.floremoria.com/images/products/Fiori-per-Piccoli-Amici/Anima Pura/anima-pura-fiori-bianchi-autunno-animali.webp","84.99 EUR","in_stock","new"